category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,137,34.21065708397132,20.300471297573225,-13.910185786398094,-19.923720904799247,-6.840720630012158,0.6861313868613139,True,trained,IJ
low,41,31.993771261755132,14.849944258122205,-17.143827003632932,-24.277889351561605,-10.31120302497365,0.7073170731707317,True,trained,IJ
lux,70,40.30866675659032,27.377479223604563,-12.931187532985756,-24.040992738464553,-0.7732230693090213,0.6571428571428571,True,trained,IJ
mid,26,21.288797146568772,9.842050289700094,-11.44674685686867,-20.06853477336207,-5.009301280334838,0.7307692307692307,True,trained,IJ
