category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,149,26.618961787150752,18.730518504085165,-7.8884432830655875,-11.799282066623617,-4.0404436773159,0.6644295302013423,True,trained,IJ
low,58,27.07530467921774,14.00143458787312,-13.07387009134462,-18.922753198950524,-7.499893770854406,0.7758620689655172,True,trained,IJ
lux,68,29.384376133456595,25.77008852974207,-3.6142876037145264,-9.186455822355613,2.4671197236744935,0.5441176470588235,False,n/a,IJ
mid,23,17.292176426773224,9.843392651721187,-7.448783775052035,-13.537667535918652,-1.093980932539185,0.7391304347826086,True,trained,IJ
