category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,21,35.77379097713431,11.95677790844055,-23.81701306869375,-34.638421933050026,-14.451656969721911,0.9047619047619048,True,trained,IJ
low,8,21.25013304351726,9.328880169792098,-11.92125287372516,-19.301438669098314,-4.828478560454049,0.875,True,trained,IJ
lux,7,54.69405778237028,18.89569085869523,-35.79836692367505,-61.17598194808104,-13.561281837137857,0.8571428571428571,True,trained,IJ
mid,6,33.06502361584841,7.365243118008031,-25.699780497840376,-35.70674238723953,-14.10546459903004,1.0,True,trained,IJ
