category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,200,22.562839898308972,20.660923643795957,-1.9019162545130115,-5.490802073922511,1.5537877780784621,0.5,False,n/a,"IJ, KL"
low,76,35.6116784037326,27.35101251019969,-8.260665893532908,-16.493009429517326,-0.5072484448595433,0.5526315789473685,True,trained,"IJ, KL"
lux,84,15.31834935834525,19.26555427289917,3.9472049145539203,0.14996991406672983,7.688346393373252,0.4523809523809524,True,avg,"IJ, KL"
mid,40,12.983476871927905,10.880030476512143,-2.10344639541576,-6.006679307266619,1.4102542835084209,0.5,False,n/a,IJ
