category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,52,40.25286705518532,25.545315077447626,-14.707551977737687,-24.987236063110945,-5.055007512858679,0.7115384615384616,True,trained,IJ
low,24,37.750327653012256,27.126034157295397,-10.624293495716861,-23.005445365151242,1.8839624926241474,0.7916666666666666,False,n/a,IJ
lux,27,43.76542511885734,24.98859282089234,-18.776832297964997,-34.63926427567651,-4.85146826508835,0.6296296296296297,True,trained,IJ
mid,1,5.474744988194198,2.6395580880938643,-2.8351869001003336,-2.8351869001003336,-2.8351869001003336,1.0,True,trained,IJ
