category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,93,61.409446721124446,21.69723745176982,-39.712209269354624,-49.778120563103464,-30.595235871573134,0.8924731182795699,True,trained,"IJ, KL"
low,49,67.0406456609093,24.109028989566486,-42.931616671342816,-56.047052082744095,-30.04350478098177,0.8775510204081632,True,trained,IJ
lux,32,57.20743977932588,19.282328022565338,-37.92511175676054,-56.264953029407714,-22.94287717750176,0.9375,True,trained,"IJ, KL"
mid,12,49.62073622846581,18.28884715031205,-31.33188907815376,-50.76637971467676,-13.785179391904135,0.8333333333333334,True,trained,IJ
