category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,83,21.060561372748776,18.862562704472204,-2.197998668276572,-7.342481123644099,3.597732958690378,0.6265060240963856,False,n/a,IJ
low,7,21.985473943488124,12.835468741849732,-9.15000520163839,-17.5541805988155,-2.4461935376135666,0.8571428571428571,True,trained,IJ
lux,59,22.71837799219018,22.98880666624295,0.2704286740527655,-6.998867094606021,8.104654093755363,0.576271186440678,False,n/a,IJ
mid,17,14.92611616438299,7.023813527641819,-7.9023026367411715,-14.844680081886459,-1.509345311350139,0.7058823529411765,True,trained,IJ
