category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,50,24.779217815738647,14.78623856555633,-9.99297925018232,-15.101228525799057,-5.296629651179359,0.72,True,trained,IJ
low,20,17.070137790517954,11.547305969604405,-5.522831820913547,-11.139968657324856,0.28996214672399995,0.7,False,n/a,IJ
lux,26,32.91123972905493,17.088415837792954,-15.822823891261969,-23.152580667983806,-8.290788713083467,0.8076923076923077,True,trained,IJ
mid,4,10.466475505286372,16.016749275777922,5.55027377049155,-8.643669847055964,15.11763005098695,0.25,False,n/a,IJ
