category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,61,41.95270023735508,27.987053124631554,-13.96564711272353,-25.650282318581294,-0.18116019751735676,0.6721311475409836,True,trained,IJ
low,23,53.36064512466848,36.21676250352901,-17.143882621139465,-42.59935786957561,16.188042619115667,0.782608695652174,False,n/a,IJ
lux,31,40.32810245332973,23.536880091769966,-16.791222361559743,-28.655056472789767,-5.985239649333335,0.6774193548387096,True,trained,IJ
mid,7,11.664100079723458,20.654488596641222,8.990388516917767,-6.109068193600023,25.07622815598847,0.2857142857142857,False,n/a,IJ
