category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,73,34.99571058164916,27.111840174675574,-7.8838704069735925,-16.270927155155846,2.242861308568615,0.6164383561643836,False,n/a,KL
low,29,29.03161998380053,22.305599536811457,-6.726020446989073,-18.401969946543147,3.8923623112479655,0.5172413793103449,False,n/a,KL
lux,30,48.43914252351507,37.83948551475875,-10.59965700875633,-27.138372989181725,10.611701424229857,0.7333333333333333,False,n/a,KL
mid,14,18.54254408748007,14.079812910072977,-4.462731177407089,-11.223219218537816,1.8968553891646025,0.5714285714285714,False,n/a,KL
