category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,188,25.090893900022994,17.91443087730673,-7.176463022716265,-10.7962635311932,-3.5654883421766534,0.6223404255319149,True,trained,"IJ, KL"
low,84,23.639268910811513,15.859306665984722,-7.7799622448267876,-13.92763406986636,-2.8601116243696914,0.6190476190476191,True,trained,"IJ, KL"
lux,78,28.080113834732582,22.561035474674448,-5.519078360058145,-11.309952536977802,0.6117365877563234,0.6025641025641025,False,n/a,"IJ, KL"
mid,26,20.813099445654398,10.61424915255161,-10.198850293102794,-16.44159333409545,-4.507948916747348,0.6923076923076923,True,trained,"IJ, KL"
