category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,83,24.8551905067363,17.08235882533151,-7.772831681404793,-12.755643958479446,-3.014955365563651,0.5903614457831325,True,trained,IJ
low,29,27.423627693960494,16.450519362857573,-10.973108331102921,-17.78094749927647,-3.8208757964620275,0.7586206896551724,True,trained,IJ
lux,31,29.092696554293497,19.790214741123492,-9.302481813170006,-18.17680635357493,-1.1365524323918699,0.5483870967741935,True,trained,IJ
mid,23,15.905305032659133,14.229307130644232,-1.6759979020149047,-11.08462724967212,5.599287626745686,0.43478260869565216,False,n/a,IJ
