category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,157,27.195009868242384,22.03258572402795,-5.1624241442144285,-9.080726221297478,-1.034817842395439,0.5796178343949044,True,trained,IJ
low,42,36.22429450461328,24.875115076494726,-11.349179428118559,-22.36544308105089,-0.8652495633813221,0.5476190476190477,True,trained,IJ
lux,86,23.759190212568203,23.603056013108187,-0.15613419946001914,-4.544440158342488,4.278446891604624,0.5581395348837209,False,n/a,IJ
mid,29,24.307097304807936,13.25856235628642,-11.048534948521512,-17.801404289906237,-4.555898574288125,0.6896551724137931,True,trained,IJ
