category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,199,21.694654360749087,18.223979579158716,-3.470674781590375,-6.811142850881454,-0.31769546709397256,0.5326633165829145,True,trained,"IJ, KL"
low,73,24.543508873964143,23.628317711540156,-0.9151911624239885,-6.74575294836464,4.484514585662867,0.5068493150684932,False,n/a,IJ
lux,96,18.504711931886067,15.655966824724471,-2.848745107161598,-6.324835002158255,0.5722881818470519,0.5416666666666666,False,n/a,"IJ, KL"
mid,30,24.97025748428749,13.291064271220144,-11.679193213067338,-24.95748344727216,-1.850169135720231,0.5666666666666667,True,trained,IJ
