category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,38,41.46855849521859,23.068649196878404,-18.399909298340187,-30.804733209992893,-7.651432372215773,0.6578947368421053,True,trained,IJ
low,19,18.962990464543555,16.584953112030114,-2.3780373525134393,-8.882237926807731,4.049637870769672,0.5789473684210527,False,n/a,IJ
lux,14,70.9724866801388,35.818489095283105,-35.1539975848557,-61.4015828900987,-9.272946459455984,0.7142857142857143,True,trained,IJ
mid,5,44.37871809400718,12.00714260376879,-32.371575490238385,-55.38788394732418,-9.355267033152595,0.8,True,trained,IJ
