category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,107,24.279138398491984,17.22067673251945,-7.058461665972538,-10.811481316481736,-3.2585607131010725,0.616822429906542,True,trained,KL
low,44,35.54970230834244,24.218148541804137,-11.331553766538303,-18.416701447175928,-4.3810686379019055,0.6363636363636364,True,trained,KL
lux,43,17.62062614844774,13.950232296791265,-3.670393851656478,-8.900972782480762,1.8128279160160656,0.5581395348837209,False,n/a,KL
mid,20,13.79969913441612,8.857694288908736,-4.942004845507386,-9.918159066543414,-0.43090244289630164,0.7,True,trained,KL
