category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,200,38.091487481727356,26.287113615858868,-11.804373865868488,-19.07844722399975,-5.426850954433154,0.65,True,trained,"IJ, KL"
low,85,46.08988613864268,28.222934535527337,-17.866951603115336,-32.50843998456165,-5.576927062828734,0.6470588235294118,True,trained,"IJ, KL"
lux,80,37.516043898403765,31.018063329854215,-6.497980568549553,-14.890964858003388,2.86927812521105,0.6125,False,n/a,"IJ, KL"
mid,35,19.98210464824404,10.77223489324605,-9.20986975499799,-13.535730725699848,-5.0365945498067495,0.7428571428571429,True,trained,IJ
