category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,131,32.26694801378528,16.402323288442442,-15.864624725342837,-21.15961971662469,-11.107462799823757,0.7175572519083969,True,trained,IJ
low,52,21.49426581363659,9.376674024343826,-12.117591789292764,-18.763704150191373,-5.68058670675757,0.7115384615384616,True,trained,IJ
lux,60,43.64446559535987,24.74094501186115,-18.903520583498715,-28.067732666641835,-10.13676652334308,0.7166666666666667,True,trained,IJ
mid,19,25.821075356588256,9.297926358337458,-16.5231489982508,-27.254381412746937,-6.652041510767779,0.7368421052631579,True,trained,IJ
