category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,119,23.449076463226064,14.161066888555071,-9.288009574670994,-12.72838201052204,-5.559587490262008,0.773109243697479,True,trained,IJ
low,50,20.209435489741587,11.097414831756518,-9.112020657985067,-14.327166303874876,-3.7123811862552425,0.74,True,trained,IJ
lux,57,28.434029281697637,18.768651487463295,-9.665377794234344,-15.212871086869344,-3.783632173249032,0.8070175438596491,True,trained,IJ
mid,12,13.269054631671432,5.04025694706831,-8.228797684603117,-13.634286609489179,-2.8670723038226575,0.75,True,trained,IJ
