category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,124,42.06905054406975,23.342649044853953,-18.7264014992158,-28.658136436224325,-10.27451350465898,0.7096774193548387,True,trained,IJ
low,51,40.60274155212783,20.069632268708528,-20.533109283419297,-43.46426786189258,-5.404507041556393,0.7647058823529411,True,trained,IJ
lux,44,50.784259390916766,36.31454461899225,-14.469714771924508,-26.912474450287885,-1.3352595091666775,0.6136363636363636,True,trained,IJ
mid,29,31.42465638295836,9.41714733179641,-22.007509051161954,-32.11431590522865,-12.333789325733896,0.7586206896551724,True,trained,IJ
