category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,94,23.40358215354964,19.647258037282413,-3.7563241162672307,-7.850443802021595,0.3954114014610175,0.6382978723404256,False,n/a,"IJ, KL"
low,27,22.038041623799455,15.779291701822828,-6.258749921976629,-12.787954924200267,-0.2576641566961699,0.7037037037037037,True,trained,"IJ, KL"
lux,45,28.165127756382585,26.1429738709513,-2.02215388543128,-9.345099072695596,5.160154019824838,0.5777777777777777,False,n/a,"IJ, KL"
mid,22,15.339947706993852,11.107616152841898,-4.232331554151956,-9.547932170660147,0.6420200268130789,0.6818181818181818,False,n/a,IJ
