category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,27,39.419898256499074,14.539746516910403,-24.880151739588683,-37.24503492132345,-13.160985610828659,0.7777777777777778,True,trained,IJ
low,13,23.68719006209962,6.244063247645719,-17.4431268144539,-36.27888071027757,-4.813073617422681,0.7692307692307693,True,trained,IJ
lux,13,55.13013053886345,23.763983108885245,-31.3661474299782,-50.81179188373525,-13.918845647813313,0.7692307692307693,True,trained,IJ
mid,1,39.71208511295537,2.4685533216783218,-37.24353179127705,-37.24353179127705,-37.24353179127705,1.0,True,trained,IJ
