category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,71,26.440919695615932,16.744091291300826,-9.696828404315111,-13.762651707440309,-5.7847034499573144,0.6901408450704225,True,trained,IJ
low,19,29.617385929046762,18.386315669480517,-11.231070259566257,-19.121464122182626,-3.8526269962025945,0.7368421052631579,True,trained,IJ
lux,35,29.750308865975825,18.257674585036757,-11.492634280939066,-17.83314638594472,-5.0963144267531755,0.6571428571428571,True,trained,IJ
mid,17,16.07730326045231,11.792463146231919,-4.284840114220391,-7.787576244837056,-0.5437771032418746,0.7058823529411765,True,trained,IJ
