category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,109,40.281923913040224,22.372658571332053,-17.909265341708167,-25.388760706131624,-10.893506720813402,0.6330275229357798,True,trained,KL
low,44,36.17355197430308,27.289464521023014,-8.88408745328007,-19.13167286826968,-0.8619285305708583,0.5909090909090909,True,trained,KL
lux,43,46.49247332850065,22.059599552132802,-24.432873776367853,-39.07883031327161,-11.609503703152614,0.5581395348837209,True,trained,KL
mid,22,36.35986666029639,13.15093475493049,-23.208931905365883,-33.297045659793525,-13.805916564769575,0.8636363636363636,True,trained,KL
