category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,113,26.309008894046837,19.37511644378677,-6.93389245026007,-11.900427885098665,-2.3281105113422425,0.6106194690265486,True,trained,IJ
low,38,27.0698081592765,16.870238001885454,-10.199570157391042,-19.280036308347295,-3.032434694088561,0.6578947368421053,True,trained,IJ
lux,56,29.612330335897315,24.377939455658424,-5.234390880238889,-13.205431756926062,2.022717109161689,0.5357142857142857,False,n/a,IJ
mid,19,15.051305061291396,9.639710766283478,-5.4115942950079186,-11.667258744157916,0.1836114573405912,0.7368421052631579,False,n/a,IJ
