category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,42,28.158927576919716,18.69140750736846,-9.467520069551258,-18.55182411996236,1.365035477313275,0.6428571428571429,False,n/a,IJ
low,9,25.074481590416227,12.395778811120698,-12.678702779295529,-28.696364124428747,2.7406714215331256,0.4444444444444444,False,n/a,IJ
lux,26,30.13729591793877,22.57412560342934,-7.563170314509431,-20.722948144539064,8.173521947856319,0.6923076923076923,False,n/a,IJ
mid,7,24.77641857863916,12.364262902889479,-12.412155675749688,-28.53518796639587,2.041139403078924,0.7142857142857143,False,n/a,IJ
