category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,92,26.122930968576284,20.218746670912086,-5.9041842976641945,-10.660908178482615,-1.028132233893748,0.6739130434782609,True,trained,"IJ, KL"
low,33,21.36668334432342,19.753440159029854,-1.6132431852935614,-8.598173062814187,6.6849532386759325,0.6363636363636364,False,n/a,"IJ, KL"
lux,52,29.320051356042516,21.743338165534116,-7.576713190508398,-14.960249567114854,-0.05116786350171043,0.6538461538461539,True,trained,IJ
mid,7,24.795204033162065,11.086797695450388,-13.708406337711674,-22.266093167436708,-6.816287585006579,1.0,True,trained,IJ
