category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,92,45.84920075543575,15.97507730350075,-29.874123451935,-37.592978749537814,-22.37033342786244,0.8043478260869565,True,trained,"IJ, KL"
low,34,30.07467682083572,15.543938846656966,-14.530737974178754,-24.713251409566013,-4.871708029779571,0.7058823529411765,True,trained,IJ
lux,39,61.449098051138186,18.807187919106866,-42.641910132031335,-55.24645501132141,-29.83351172999092,0.8717948717948718,True,trained,"IJ, KL"
mid,19,42.056454399857145,10.933308541608653,-31.123145858248485,-44.1948894715663,-18.938868732694647,0.8421052631578947,True,trained,"IJ, KL"
