category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,99,33.90891765278583,19.051352498173348,-14.85756515461248,-22.32281822038333,-8.233019464318234,0.6767676767676768,True,trained,IJ
low,35,45.007175545436766,23.758576724067954,-21.248598821368816,-40.03794721027414,-6.8547117090979475,0.6285714285714286,True,trained,IJ
lux,41,26.818042694275473,18.58266856975873,-8.235374124516747,-14.327035561074258,-1.8607698980065746,0.7073170731707317,True,trained,IJ
mid,23,29.66051969870504,12.723665244203277,-16.936854454501763,-28.555681815986944,-6.671680725125055,0.6956521739130435,True,trained,IJ
