category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,84,26.15540527032844,24.017332244442887,-2.138073025885548,-8.465307157888619,4.304468663002512,0.5714285714285714,False,n/a,KL
low,33,26.166659420659627,20.31744181233864,-5.84921760832099,-15.169849790869144,3.105826560308811,0.5454545454545454,False,n/a,KL
lux,33,30.23917710302841,36.29715948785802,6.057982384829607,-4.89039408615931,17.351590100388673,0.5151515151515151,False,n/a,KL
mid,18,18.647857634771324,8.287448090372969,-10.360409544398356,-18.62790693669979,-2.364357383894273,0.7222222222222222,True,trained,KL
