category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,159,33.39080366040266,30.937174998474333,-2.4536286619283314,-7.614895206024208,3.475013549204245,0.5786163522012578,False,n/a,"IJ, KL"
low,64,35.844197283830525,30.783989981349322,-5.0602073024811975,-12.506363636206114,2.0977395904938585,0.515625,False,n/a,KL
lux,63,36.866557430643155,38.536988042477915,1.670430611834767,-9.301043983240172,13.954449218694378,0.6031746031746031,False,n/a,KL
mid,32,21.641126178385996,16.2814131023423,-5.3597130760436995,-12.206261220715243,1.0769467728520095,0.65625,False,n/a,"IJ, KL"
