category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,112,18.537202197469433,14.349903146123529,-4.187299051345903,-7.242437263468346,-0.838632330591281,0.6517857142857143,True,trained,"IJ, KL"
low,38,15.375382404049626,9.939804277262999,-5.435578126786621,-10.20437832225669,-1.2484498472129093,0.5789473684210527,True,trained,IJ
lux,48,22.367528579998226,19.921394386402756,-2.446134193595469,-8.047545842153124,3.4701195198942654,0.7083333333333334,False,n/a,"IJ, KL"
mid,26,16.086951650876006,10.509602280096507,-5.5773493707795,-10.347679075977469,-0.8986620893306007,0.6538461538461539,True,trained,"IJ, KL"
