category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,53,30.94493346806093,14.9023246687198,-16.042608799341135,-22.40665448833841,-10.037017677376626,0.6981132075471698,True,trained,IJ
low,23,20.55719957586278,11.986417409947219,-8.570782165915558,-13.982793175311167,-3.36555438686692,0.6956521739130435,True,trained,IJ
lux,23,47.00534032694893,20.103894852166,-26.901445474782932,-38.55922529955744,-15.780821258856939,0.7391304347826086,True,trained,IJ
mid,7,12.306150863222891,7.3922893447921885,-4.913861518430702,-14.105996054732426,3.252422383027233,0.5714285714285714,False,n/a,IJ
