category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,92,47.43323468953285,21.166719345214936,-26.266515344317916,-39.42942534702455,-14.702461634454703,0.7608695652173914,True,trained,IJ
low,52,49.02018453332805,16.33670339884587,-32.68348113448219,-55.91919935575064,-14.041167229737335,0.7307692307692307,True,trained,IJ
lux,27,49.38183151009188,35.66079129260038,-13.721040217491497,-30.19506036492086,3.724610803104348,0.7037037037037037,False,n/a,IJ
mid,13,37.038349610114054,10.383710624582953,-26.6546389855311,-40.264238300098974,-15.467053621896321,1.0,True,trained,IJ
