category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,158,41.73336683151681,27.227334313069157,-14.506032518447654,-22.62860569758718,-6.832461224344489,0.5886075949367089,True,trained,"IJ, KL"
low,63,48.785890103240774,24.650865363532215,-24.135024739708545,-40.26611209532409,-11.366877585241394,0.6984126984126984,True,trained,KL
lux,64,43.32534737810818,32.852506758652126,-10.472840619456054,-23.02294121871435,0.127443898286669,0.546875,False,n/a,KL
mid,31,24.114150021824656,20.85012487124711,-3.264025150577541,-12.960439473557045,5.2108313250695115,0.45161290322580644,False,n/a,"IJ, KL"
