category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,56,39.73623525543251,25.624155980637358,-14.112079274795153,-23.09783773876853,-5.9841316304353445,0.6785714285714286,True,trained,IJ
low,28,36.614688352271955,17.810217875270798,-18.80447047700115,-31.181976934368492,-8.427347825929377,0.7142857142857143,True,trained,IJ
lux,26,44.49284615612369,34.78758136622488,-9.70526478989881,-22.941404143662847,3.8095758244618505,0.6153846153846154,False,n/a,IJ
mid,2,21.601950190695078,15.894759443131363,-5.707190747563715,-10.841735062986736,-0.5726464321406937,1.0,True,trained,IJ
