category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,74,22.268354337064036,18.09276459900517,-4.175589738058866,-9.109890317109777,0.4476773142442942,0.6351351351351351,False,n/a,IJ
low,27,26.646249354805647,15.805140552624588,-10.841108802181054,-20.7118154772031,-2.885827119428987,0.7037037037037037,True,trained,IJ
lux,39,19.690754015430517,22.309924163930646,2.619170148500118,-2.326521333675859,8.32661839061008,0.5384615384615384,False,n/a,IJ
mid,8,20.058760220149463,5.254842876527933,-14.803917343621531,-28.92705868109071,-4.388829980284756,0.875,True,trained,IJ
