category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,10,12.779066226298792,17.07923797285818,4.300171746559386,-9.469227658583964,16.41393033859317,0.4,False,n/a,"IJ, KL"
low,5,8.443790216338764,9.861582221589492,1.4177920052507305,-3.782637883047746,6.618221893549207,0.4,False,n/a,"IJ, KL"
lux,4,18.919452340157314,29.68301536327602,10.76356302311871,-23.429085326910666,32.70326545831357,0.25,False,n/a,IJ
mid,1,9.893901820664857,2.7524071675302246,-7.141494653134632,-7.141494653134632,-7.141494653134632,1.0,True,trained,IJ
