category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,187,40.34596689439857,28.255999813507405,-12.089967080891169,-18.832692665958707,-5.261873491756175,0.6684491978609626,True,trained,"IJ, KL"
low,73,23.26464786187939,13.058674851388217,-10.205973010491174,-17.075394462849154,-4.812202193866618,0.7397260273972602,True,trained,"IJ, KL"
lux,87,58.25416025167775,44.56661070786701,-13.687549543810746,-27.073014697794306,-0.1277097101583792,0.6091954022988506,True,trained,"IJ, KL"
mid,27,28.824613831087895,16.78865071815241,-12.035963112935486,-19.291934070558817,-4.875918857887675,0.6666666666666666,True,trained,IJ
