category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,200,38.698669526335074,32.58409510409492,-6.114574422240155,-11.98113653867133,-0.5456064459445251,0.62,True,trained,"IJ, KL"
low,80,43.45055076135679,35.649301508189254,-7.801249253167529,-16.477254434817425,0.01335557423031309,0.575,False,n/a,"IJ, KL"
lux,74,41.68685496487731,41.29768604936136,-0.38916891551596444,-12.007853508293868,11.903151089070501,0.6486486486486487,False,n/a,IJ
mid,46,25.62744732516415,13.235785489371816,-12.39166183579234,-20.43069357702126,-5.72128160815775,0.6521739130434783,True,trained,"IJ, KL"
