category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,95,97.6545310367458,26.830474169675682,-70.82405686707007,-95.54988533097217,-50.39936787260089,0.7684210526315789,True,trained,KL
low,38,150.1409729743534,32.712640728154305,-117.42833224619909,-167.2070917091271,-75.82015819944957,0.8947368421052632,True,trained,KL
lux,39,35.42438552931311,29.168207483247027,-6.2561780460660845,-15.26735619103565,3.1685229203247216,0.5384615384615384,False,n/a,KL
mid,18,121.68180221234485,9.347478144594005,-112.33432406775086,-149.00610691093507,-82.81483894452136,1.0,True,trained,KL
