category_primary,n,mean_market_avg,mean_market_trained,mean_delta,ci_low,ci_high,trained_win_rate,significant,better,pair_mix
ALL,135,23.777774030662428,17.525458029789277,-6.252316000873149,-9.907898507585202,-2.548461040897523,0.6074074074074074,True,trained,IJ
low,58,22.31317565240403,16.712927856670493,-5.600247795733532,-10.061930927361912,-1.1346818496394604,0.603448275862069,True,trained,IJ
lux,49,28.799873533772754,22.826610899636957,-5.973262634135801,-12.96654047955991,1.4304578428897698,0.6122448979591837,False,n/a,IJ
mid,28,18.022910826611756,9.931538723301896,-8.091372103309858,-16.830664964677478,-1.1394260973184067,0.6071428571428571,True,trained,IJ
